	Substance	TC (K)
1	Al	1.2
1	Bi	5.3e-4
2	Cd	0.52
4	Ga	1.083
5	Hf	0.165
8	In	3.4
9	Ir	0.14
12	Li	4e-4
13	Mo	0.92
14	Nb	9.26
15	Os	0.65
17	Pb	7.19
18	Re	2.4
19	Rh	3.25e-4
20	Ru	0.49
22	Sn	3.72
23	Ta	4.48
24	Tc	7.46
26	Ti	0.39
27	Tl	2.39
30	V	5.03
33	Zn	0.855
34	Zr	0.55
35	Ba8Si46	8.07
36	C6Ca	11.5
37	C6Li3Ca2	11.15
38	C8K	0.14
39	C8KHg	1.4
40	C6K	1.5
41	C3K	3.0
42	C3Li	0.35
43	C2Li	1.9
44	C3Na	2.3
45	C2Na	5.0
46	C8Rb	0.025
47	C6Sr	1.65
48	C6Yb	6.5
49	C60Cs2Rb	33
50	C60K3	19.8
52	FeB4	2.9
53	InN	3
54	In2O3	3.3
55	LaB6	0.45
56	MgB2	39
57	Nb3Al	18
58	Nb3Ge	23.2
59	NbO	1.38
60	NbN	16
61	Nb3Sn	18.3
62	NbTi	10
65	TiN	5.6
66	V3Si	17
67	YB6	8.4
68	ZrN	10
69	ZrB12	6.0
70	YBCO	95
71	GdBCO	91
72	BSCCO	33
74	SmFeAsO	55
75	SmFeAsF	55
76	CeFeAsO	41
77	CeFeAsF	41
78	LaFeAsO	26
79	LaFeAsF	26
77	LaFePO	4
78	FeSe	65
79	BaFe2As2	38
101	KFe2As2	38
80	NaFeAs	20
